=== GESTURE Seizure Detection Training ===
Job started: Wed Jul 16 08:08:03 PM EDT 2025
Node: qa-a10-026.crc.nd.edu
=== Environment Check ===
PyTorch version: 2.5.1+cu121
CUDA available: True
GPU: NVIDIA A10
GPU memory: 23.7 GB
=== Starting Training ===
/users/akoongbo/miniconda3/envs/hiera-seizure/lib/python3.12/site-packages/torch/utils/data/dataloader.py:617: UserWarning: This DataLoader will create 4 worker processes in total. Our suggested max number of worker in current system is 1, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(
/users/akoongbo/miniconda3/envs/hiera-seizure/lib/python3.12/site-packages/torch/utils/data/dataloader.py:617: UserWarning: This DataLoader will create 4 worker processes in total. Our suggested max number of worker in current system is 1, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(
=== GESTURE Dataset Training with Hiera Architecture ===
Device: cuda
GPU: NVIDIA A10
GPU memory: 23.7 GB
Loaded 220 seizures
Train: 54 subjects, 184 seizures
  Batch 260/397, Loss: 0.0373
  Batch 270/397, Loss: 0.0654
  Batch 280/397, Loss: 0.0448
  Batch 290/397, Loss: 0.1079
  Batch 300/397, Loss: 0.0388
  Batch 310/397, Loss: 0.2767
  Batch 320/397, Loss: 0.1103
  Batch 330/397, Loss: 0.0565
  Batch 340/397, Loss: 0.0216
  Batch 350/397, Loss: 0.0129
  Batch 360/397, Loss: 0.0013
  Batch 370/397, Loss: 0.1221
  Batch 380/397, Loss: 0.0171
  Batch 390/397, Loss: 0.0453
Epoch 4/30 (157.1s)
  Train Loss: 0.0760, Acc: 0.9712
  Val Loss: 1.7556, Acc: 0.6103
  Best Val Acc: 0.6744
  LR: 9.57e-05
------------------------------------------------------------
  Batch 0/397, Loss: 0.0241
  Batch 10/397, Loss: 0.0378
  Batch 20/397, Loss: 0.0737
  Batch 30/397, Loss: 0.1229
  Batch 40/397, Loss: 0.0078
  Batch 50/397, Loss: 0.0064
  Batch 60/397, Loss: 0.0012
  Batch 70/397, Loss: 0.0464
  Batch 80/397, Loss: 0.0041
  Batch 90/397, Loss: 0.0214
  Batch 100/397, Loss: 0.0244
  Batch 110/397, Loss: 0.0184
  Batch 120/397, Loss: 0.0264
  Batch 130/397, Loss: 0.0659
  Batch 140/397, Loss: 0.1161
  Batch 150/397, Loss: 0.0040
  Batch 160/397, Loss: 0.0987
  Batch 170/397, Loss: 0.0207
  Batch 180/397, Loss: 0.0512
  Batch 190/397, Loss: 0.0424
  Batch 200/397, Loss: 0.1510
  Batch 210/397, Loss: 0.0162
  Batch 220/397, Loss: 0.2247
  Batch 230/397, Loss: 0.0033
  Batch 240/397, Loss: 0.0788
  Batch 250/397, Loss: 0.1074
  Batch 260/397, Loss: 0.0033
  Batch 270/397, Loss: 0.0047
  Batch 280/397, Loss: 0.0041
  Batch 290/397, Loss: 0.1649
  Batch 300/397, Loss: 0.2855
  Batch 310/397, Loss: 0.0013
  Batch 320/397, Loss: 0.0229
  Batch 330/397, Loss: 0.1473
  Batch 340/397, Loss: 0.0046
  Batch 350/397, Loss: 0.0119
  Batch 360/397, Loss: 0.0553
  Batch 370/397, Loss: 0.0431
  Batch 380/397, Loss: 0.0086
  Batch 390/397, Loss: 0.0418
Epoch 5/30 (159.0s)
  Train Loss: 0.0532, Acc: 0.9816
  Val Loss: 2.0386, Acc: 0.5936
  Best Val Acc: 0.6744
  LR: 9.33e-05
------------------------------------------------------------
  Batch 0/397, Loss: 0.0090
  Batch 10/397, Loss: 0.0236
  Batch 20/397, Loss: 0.0880
  Batch 30/397, Loss: 0.2660
  Batch 40/397, Loss: 0.0179
  Batch 50/397, Loss: 0.0144
  Batch 60/397, Loss: 0.0045
  Batch 70/397, Loss: 0.0011
  Batch 80/397, Loss: 0.0405
  Batch 90/397, Loss: 0.0013
  Batch 100/397, Loss: 0.0053
  Batch 110/397, Loss: 0.0008
  Batch 120/397, Loss: 0.0003
  Batch 130/397, Loss: 0.0168
  Batch 140/397, Loss: 0.1293
  Batch 150/397, Loss: 0.0007
  Batch 160/397, Loss: 0.0097
  Batch 170/397, Loss: 0.0811
  Batch 180/397, Loss: 0.0411
  Batch 190/397, Loss: 0.0049
  Batch 200/397, Loss: 0.0019
  Batch 210/397, Loss: 0.0043
  Batch 220/397, Loss: 0.0007
  Batch 230/397, Loss: 0.0023
  Batch 240/397, Loss: 0.0142
  Batch 250/397, Loss: 0.1071
  Batch 260/397, Loss: 0.1919
  Batch 270/397, Loss: 0.0134
  Batch 280/397, Loss: 0.0059
  Batch 290/397, Loss: 0.0059
  Batch 300/397, Loss: 0.0225
  Batch 310/397, Loss: 0.2009
  Batch 320/397, Loss: 0.0009
  Batch 330/397, Loss: 0.0015
  Batch 340/397, Loss: 0.0018
  Batch 350/397, Loss: 0.0661
  Batch 360/397, Loss: 0.0244
  Batch 370/397, Loss: 0.1202
  Batch 380/397, Loss: 0.0049
  Batch 390/397, Loss: 0.0094
Epoch 6/30 (161.6s)
  Train Loss: 0.0411, Acc: 0.9854
  Val Loss: 2.7858, Acc: 0.5487
  Best Val Acc: 0.6744
  LR: 9.05e-05
------------------------------------------------------------
  Batch 0/397, Loss: 0.0000
  Batch 10/397, Loss: 0.0758
  Batch 20/397, Loss: 0.0000
  Batch 30/397, Loss: 0.0037
  Batch 40/397, Loss: 0.0139
  Batch 50/397, Loss: 0.0112
  Batch 60/397, Loss: 0.1286
  Batch 70/397, Loss: 0.0020
  Batch 80/397, Loss: 0.0005
  Batch 90/397, Loss: 0.0596
  Batch 100/397, Loss: 0.0025
  Batch 110/397, Loss: 0.0006
  Batch 120/397, Loss: 0.3485
  Batch 130/397, Loss: 0.0043
  Batch 140/397, Loss: 0.1209
  Batch 150/397, Loss: 0.0009
  Batch 160/397, Loss: 0.0141
  Batch 170/397, Loss: 0.0053
  Batch 180/397, Loss: 0.0548
  Batch 190/397, Loss: 0.0059
  Batch 200/397, Loss: 0.0293
  Batch 210/397, Loss: 0.0072
  Batch 220/397, Loss: 0.0199
  Batch 230/397, Loss: 0.0312
  Batch 240/397, Loss: 0.0708
  Batch 250/397, Loss: 0.0014
  Batch 260/397, Loss: 0.0455
  Batch 270/397, Loss: 0.0129
  Batch 280/397, Loss: 0.0690
  Batch 290/397, Loss: 0.0001
  Batch 300/397, Loss: 0.0165
  Batch 310/397, Loss: 0.0035
  Batch 320/397, Loss: 0.0053
  Batch 330/397, Loss: 0.0012
  Batch 340/397, Loss: 0.0007
  Batch 350/397, Loss: 0.0004
  Batch 360/397, Loss: 0.0010
  Batch 370/397, Loss: 0.0081
  Batch 380/397, Loss: 0.0034
  Batch 390/397, Loss: 0.0008
Epoch 7/30 (155.7s)
  Train Loss: 0.0322, Acc: 0.9883
  Val Loss: 2.3057, Acc: 0.6035
  Best Val Acc: 0.6744
  LR: 8.72e-05
------------------------------------------------------------
  Batch 0/397, Loss: 0.0828
  Batch 10/397, Loss: 0.1172
  Batch 20/397, Loss: 0.0031
  Batch 30/397, Loss: 0.0003
  Batch 40/397, Loss: 0.0003
  Batch 50/397, Loss: 0.0229
  Batch 60/397, Loss: 0.0009
  Batch 70/397, Loss: 0.0053
  Batch 80/397, Loss: 0.0002
  Batch 90/397, Loss: 0.0023
  Batch 100/397, Loss: 0.0004
  Batch 110/397, Loss: 0.0011
  Batch 120/397, Loss: 0.0359
  Batch 130/397, Loss: 0.0238
  Batch 140/397, Loss: 0.0003
  Batch 150/397, Loss: 0.0015
  Batch 160/397, Loss: 0.0008
  Batch 170/397, Loss: 0.0474
  Batch 180/397, Loss: 0.0017
  Batch 190/397, Loss: 0.0002
  Batch 200/397, Loss: 0.0001
  Batch 210/397, Loss: 0.0004
  Batch 220/397, Loss: 0.0085
  Batch 230/397, Loss: 0.0132
  Batch 240/397, Loss: 0.0002
  Batch 250/397, Loss: 0.0002
  Batch 260/397, Loss: 0.1874
  Batch 270/397, Loss: 0.0005
  Batch 280/397, Loss: 0.0001
  Batch 290/397, Loss: 0.0172
  Batch 300/397, Loss: 0.0874
  Batch 310/397, Loss: 0.0048
  Batch 320/397, Loss: 0.0009
  Batch 330/397, Loss: 0.0031
  Batch 340/397, Loss: 0.0001
  Batch 350/397, Loss: 0.0194
  Batch 360/397, Loss: 0.0015
  Batch 370/397, Loss: 0.0159
  Batch 380/397, Loss: 0.0733
  Batch 390/397, Loss: 0.1171
Epoch 8/30 (155.0s)
  Train Loss: 0.0246, Acc: 0.9913
  Val Loss: 2.3323, Acc: 0.6025
  Best Val Acc: 0.6744
  LR: 8.35e-05
------------------------------------------------------------
  Batch 0/397, Loss: 0.0033
  Batch 10/397, Loss: 0.0004
  Batch 20/397, Loss: 0.0023
  Batch 30/397, Loss: 0.0001
  Batch 40/397, Loss: 0.0004
  Batch 50/397, Loss: 0.0008
  Batch 60/397, Loss: 0.0548
  Batch 70/397, Loss: 0.0000
  Batch 80/397, Loss: 0.0374
  Batch 90/397, Loss: 0.0750
  Batch 100/397, Loss: 0.0001
  Batch 110/397, Loss: 0.0030
  Batch 120/397, Loss: 0.0145
  Batch 130/397, Loss: 0.0009
  Batch 140/397, Loss: 0.0145
  Batch 150/397, Loss: 0.0182
  Batch 160/397, Loss: 0.0006
  Batch 170/397, Loss: 0.0002
  Batch 180/397, Loss: 0.0034
  Batch 190/397, Loss: 0.0011
  Batch 200/397, Loss: 0.0001
  Batch 210/397, Loss: 0.0003
  Batch 220/397, Loss: 0.0005
  Batch 230/397, Loss: 0.0012
  Batch 240/397, Loss: 0.0007
  Batch 250/397, Loss: 0.0003
  Batch 260/397, Loss: 0.0007
  Batch 270/397, Loss: 0.0014
  Batch 280/397, Loss: 0.0014
  Batch 290/397, Loss: 0.0002
  Batch 300/397, Loss: 0.0001
  Batch 310/397, Loss: 0.0074
  Batch 320/397, Loss: 0.0077
  Batch 330/397, Loss: 0.0000
  Batch 340/397, Loss: 0.0007
  Batch 350/397, Loss: 0.0013
  Batch 360/397, Loss: 0.0000
  Batch 370/397, Loss: 0.0002
  Batch 380/397, Loss: 0.0001
  Batch 390/397, Loss: 0.0156
Epoch 9/30 (160.3s)
  Train Loss: 0.0240, Acc: 0.9920
  Val Loss: 2.5559, Acc: 0.6350
  Best Val Acc: 0.6744
  LR: 7.94e-05
------------------------------------------------------------
  Batch 0/397, Loss: 0.0035
  Batch 10/397, Loss: 0.0703
  Batch 20/397, Loss: 0.0002
  Batch 30/397, Loss: 0.0001
  Batch 40/397, Loss: 0.0024
  Batch 50/397, Loss: 0.0003
  Batch 60/397, Loss: 0.0003
  Batch 70/397, Loss: 0.0019
  Batch 80/397, Loss: 0.0002
  Batch 90/397, Loss: 0.1372
  Batch 100/397, Loss: 0.0172
  Batch 110/397, Loss: 0.0091
  Batch 120/397, Loss: 0.0000
  Batch 130/397, Loss: 0.0033
  Batch 140/397, Loss: 0.0000
  Batch 150/397, Loss: 0.0004
  Batch 160/397, Loss: 0.0023
  Batch 170/397, Loss: 0.0010
  Batch 180/397, Loss: 0.0064
  Batch 190/397, Loss: 0.0006
  Batch 200/397, Loss: 0.0157
  Batch 210/397, Loss: 0.1416
  Batch 220/397, Loss: 0.0000
  Batch 230/397, Loss: 0.0041
  Batch 240/397, Loss: 0.0019
  Batch 250/397, Loss: 0.0057
  Batch 260/397, Loss: 0.0025
  Batch 270/397, Loss: 0.0003
  Batch 280/397, Loss: 0.0001
  Batch 290/397, Loss: 0.0000
  Batch 300/397, Loss: 0.3557
  Batch 310/397, Loss: 0.0027
  Batch 320/397, Loss: 0.0001
  Batch 330/397, Loss: 0.0003
  Batch 340/397, Loss: 0.0007
  Batch 350/397, Loss: 0.0005
  Batch 360/397, Loss: 0.0139
  Batch 370/397, Loss: 0.0020
  Batch 380/397, Loss: 0.0000
  Batch 390/397, Loss: 0.0576
Epoch 10/30 (154.1s)
  Train Loss: 0.0174, Acc: 0.9946
  Val Loss: 3.1820, Acc: 0.5960
  Best Val Acc: 0.6744
  LR: 7.50e-05
------------------------------------------------------------
  Batch 0/397, Loss: 0.0001
  Batch 10/397, Loss: 0.0000
  Batch 20/397, Loss: 0.0000
  Batch 30/397, Loss: 0.0014
  Batch 40/397, Loss: 0.0008
  Batch 50/397, Loss: 0.0020
  Batch 60/397, Loss: 0.0001
  Batch 70/397, Loss: 0.0002
  Batch 80/397, Loss: 0.0005
  Batch 90/397, Loss: 0.0001
  Batch 100/397, Loss: 0.0000
  Batch 110/397, Loss: 0.0001
  Batch 120/397, Loss: 0.0122
  Batch 130/397, Loss: 0.0000
  Batch 140/397, Loss: 0.0000
  Batch 150/397, Loss: 0.0120
  Batch 160/397, Loss: 0.0068
  Batch 170/397, Loss: 0.0000
  Batch 180/397, Loss: 0.0014
  Batch 190/397, Loss: 0.0002
  Batch 200/397, Loss: 0.0091
  Batch 210/397, Loss: 0.0000
  Batch 220/397, Loss: 0.0000
  Batch 230/397, Loss: 0.0001
  Batch 240/397, Loss: 0.1656
  Batch 250/397, Loss: 0.0000
  Batch 260/397, Loss: 0.0015
  Batch 270/397, Loss: 0.0012
  Batch 280/397, Loss: 0.0165
  Batch 290/397, Loss: 0.0000
  Batch 300/397, Loss: 0.0372
  Batch 310/397, Loss: 0.0003
  Batch 320/397, Loss: 0.0013
  Batch 330/397, Loss: 0.0003
  Batch 340/397, Loss: 0.0008
  Batch 350/397, Loss: 0.0001
  Batch 360/397, Loss: 0.0001
  Batch 370/397, Loss: 0.0000
  Batch 380/397, Loss: 0.0014
  Batch 390/397, Loss: 0.0007
Epoch 11/30 (153.6s)
  Train Loss: 0.0099, Acc: 0.9968
  Val Loss: 3.0266, Acc: 0.5936
  Best Val Acc: 0.6744
  LR: 7.03e-05
------------------------------------------------------------
  Batch 0/397, Loss: 0.0489
  Batch 10/397, Loss: 0.0000
  Batch 20/397, Loss: 0.0003
  Batch 30/397, Loss: 0.0000
  Batch 40/397, Loss: 0.0009
  Batch 50/397, Loss: 0.0000
  Batch 60/397, Loss: 0.0000
  Batch 70/397, Loss: 0.0001
  Batch 80/397, Loss: 0.0001
  Batch 90/397, Loss: 0.0000
  Batch 100/397, Loss: 0.0018
  Batch 110/397, Loss: 0.0014
  Batch 120/397, Loss: 0.0000
  Batch 130/397, Loss: 0.0007
  Batch 140/397, Loss: 0.0010
  Batch 150/397, Loss: 0.0000
  Batch 160/397, Loss: 0.0002
  Batch 170/397, Loss: 0.0000
  Batch 180/397, Loss: 0.0090
  Batch 190/397, Loss: 0.0001
  Batch 200/397, Loss: 0.0001
  Batch 210/397, Loss: 0.0003
  Batch 220/397, Loss: 0.0371
  Batch 230/397, Loss: 0.0001
  Batch 240/397, Loss: 0.0000
  Batch 250/397, Loss: 0.0001
  Batch 260/397, Loss: 0.0000
  Batch 270/397, Loss: 0.0000
  Batch 280/397, Loss: 0.0000
  Batch 290/397, Loss: 0.0004
  Batch 300/397, Loss: 0.0000
  Batch 310/397, Loss: 0.0000
  Batch 320/397, Loss: 0.0022
  Batch 330/397, Loss: 0.0002
  Batch 340/397, Loss: 0.0000
  Batch 350/397, Loss: 0.0002
  Batch 360/397, Loss: 0.0000
  Batch 370/397, Loss: 0.0000
  Batch 380/397, Loss: 0.0003
  Batch 390/397, Loss: 0.0002
Epoch 12/30 (154.6s)
  Train Loss: 0.0064, Acc: 0.9978
  Val Loss: 3.4564, Acc: 0.6069
  Best Val Acc: 0.6744
  LR: 6.55e-05
------------------------------------------------------------
  Batch 0/397, Loss: 0.0000
  Batch 10/397, Loss: 0.0001
  Batch 20/397, Loss: 0.0001
  Batch 30/397, Loss: 0.0000
  Batch 40/397, Loss: 0.1412
  Batch 50/397, Loss: 0.0888
  Batch 60/397, Loss: 0.0005
  Batch 70/397, Loss: 0.0000
  Batch 80/397, Loss: 0.0017
  Batch 90/397, Loss: 0.0001
  Batch 100/397, Loss: 0.0000
  Batch 110/397, Loss: 0.0001
  Batch 120/397, Loss: 0.0003
  Batch 130/397, Loss: 0.0441
  Batch 140/397, Loss: 0.0000
  Batch 150/397, Loss: 0.0005
  Batch 160/397, Loss: 0.0000
  Batch 170/397, Loss: 0.0001
  Batch 180/397, Loss: 0.0000
  Batch 190/397, Loss: 0.0000
  Batch 200/397, Loss: 0.0000
  Batch 210/397, Loss: 0.0000
  Batch 220/397, Loss: 0.0001
  Batch 230/397, Loss: 0.0000
  Batch 240/397, Loss: 0.0000
  Batch 250/397, Loss: 0.0001
  Batch 260/397, Loss: 0.0000
  Batch 270/397, Loss: 0.0107
  Batch 280/397, Loss: 0.0002
  Batch 290/397, Loss: 0.0000
  Batch 300/397, Loss: 0.0000
  Batch 310/397, Loss: 0.0000
  Batch 320/397, Loss: 0.0050
  Batch 330/397, Loss: 0.0002
  Batch 340/397, Loss: 0.0003
  Batch 350/397, Loss: 0.0001
  Batch 360/397, Loss: 0.0000
  Batch 370/397, Loss: 0.0000
  Batch 380/397, Loss: 0.0097
  Batch 390/397, Loss: 0.0010
Epoch 13/30 (154.9s)
  Train Loss: 0.0068, Acc: 0.9975
  Val Loss: 3.2251, Acc: 0.6234
  Best Val Acc: 0.6744
  LR: 6.04e-05
------------------------------------------------------------
  Batch 0/397, Loss: 0.0004
  Batch 10/397, Loss: 0.0002
  Batch 20/397, Loss: 0.0002
  Batch 30/397, Loss: 0.0016
  Batch 40/397, Loss: 0.0000
  Batch 50/397, Loss: 0.0000
  Batch 60/397, Loss: 0.0000
  Batch 70/397, Loss: 0.0000
  Batch 80/397, Loss: 0.0014
  Batch 90/397, Loss: 0.0000
  Batch 100/397, Loss: 0.0000
  Batch 110/397, Loss: 0.0000
  Batch 120/397, Loss: 0.0022
  Batch 130/397, Loss: 0.0000
  Batch 140/397, Loss: 0.1527
  Batch 150/397, Loss: 0.0000
  Batch 160/397, Loss: 0.0000
  Batch 170/397, Loss: 0.0002
  Batch 180/397, Loss: 0.0084
  Batch 190/397, Loss: 0.0009
  Batch 200/397, Loss: 0.0002
  Batch 210/397, Loss: 0.0000
  Batch 220/397, Loss: 0.0000
  Batch 230/397, Loss: 0.0108
  Batch 240/397, Loss: 0.0002
  Batch 250/397, Loss: 0.0000
  Batch 260/397, Loss: 0.0000
  Batch 270/397, Loss: 0.0076
  Batch 280/397, Loss: 0.0000
  Batch 290/397, Loss: 0.0000
  Batch 300/397, Loss: 0.0253
  Batch 310/397, Loss: 0.0002
  Batch 320/397, Loss: 0.0148
  Batch 330/397, Loss: 0.0039
  Batch 340/397, Loss: 0.0185
  Batch 350/397, Loss: 0.0000
  Batch 360/397, Loss: 0.0000
  Batch 370/397, Loss: 0.0025
  Batch 380/397, Loss: 0.0000
  Batch 390/397, Loss: 0.0000
Epoch 14/30 (156.3s)
  Train Loss: 0.0069, Acc: 0.9978
  Val Loss: 3.2895, Acc: 0.6148
  Best Val Acc: 0.6744
  LR: 5.52e-05
------------------------------------------------------------
  Batch 0/397, Loss: 0.0031
  Batch 10/397, Loss: 0.0000
  Batch 20/397, Loss: 0.0000
  Batch 30/397, Loss: 0.0000
  Batch 40/397, Loss: 0.0002
  Batch 50/397, Loss: 0.0000
  Batch 60/397, Loss: 0.0000
  Batch 70/397, Loss: 0.0000
  Batch 80/397, Loss: 0.0003
  Batch 90/397, Loss: 0.0000
  Batch 100/397, Loss: 0.0000
  Batch 110/397, Loss: 0.0001
  Batch 120/397, Loss: 0.0000
  Batch 130/397, Loss: 0.0000
  Batch 140/397, Loss: 0.0000
  Batch 150/397, Loss: 0.0000
  Batch 160/397, Loss: 0.0000
  Batch 170/397, Loss: 0.0006
  Batch 180/397, Loss: 0.0000
  Batch 190/397, Loss: 0.0000
  Batch 200/397, Loss: 0.0213
  Batch 210/397, Loss: 0.0017
  Batch 220/397, Loss: 0.0000
  Batch 230/397, Loss: 0.3107
  Batch 240/397, Loss: 0.0003
  Batch 250/397, Loss: 0.0082
  Batch 260/397, Loss: 0.0004
  Batch 270/397, Loss: 0.0099
  Batch 280/397, Loss: 0.0006
  Batch 290/397, Loss: 0.0000
  Batch 300/397, Loss: 0.0000
  Batch 310/397, Loss: 0.0016
  Batch 320/397, Loss: 0.0001
  Batch 330/397, Loss: 0.0000
  Batch 340/397, Loss: 0.0000
  Batch 350/397, Loss: 0.0000
  Batch 360/397, Loss: 0.0000
